ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
142,15,B,uninvaded,sterile,Churchill,3,1,2,0.185,0.935,1.69,3.405,5.255,6.855,8.68,7.745,0.1222,0.1222,0.1222,0.0585,0.058,0.05825,0.18045,alive
143,9,B,uninvaded,sterile,airport,3,1,2,0.27,0.5,1.175,2.715,3.64,5.32,5.835,5.335,0.0349,0.0353,0.0351,0.0172,0.017,0.0171,0.0522,alive
144,6,B,uninvaded,live,Churchill,3,1,2,0.24,0.92,1.19,1.895,2.495,3.39,4.855,3.935,0.0098,0.0101,0.00995,0.0052,0.0054,0.0053,0.01525,alive
145,17,B,uninvaded,live,CNSC,3,1,2,0.24,1.085,1.52,2.12,3.525,4.935,6.01,4.925,0.0131,0.013,0.01305,0.0049,0.0051,0.005,0.01805,alive
146,17,A,invaded,sterile,CNSC,3,1,2,0.205,0.495,0.925,1.855,3.77,6.34,8.33,7.835,0.0416,0.0421,0.04185,0.0112,0.0105,0.01085,0.0527,alive
147,15,A,invaded,sterile,Churchill,3,1,2,0.215,0.6,1.485,2.87,4.65,6.42,8.64,8.04,0.1046,0.1042,0.1044,0.0317,0.0319,0.0318,0.1362,alive
148,11,A,invaded,live,airport,3,1,2,0.345,1.1,1.925,2.82,4.08,4.915,5.645,4.545,0.0086,0.0076,0.0081,0.0066,0.006,0.0063,0.0144,alive
149,14,A,invaded,live,Churchill,3,1,2,0.28,0.695,1.64,2.11,2.865,4.22,4.385,3.69,0.0039,0.0033,0.0036,0.0035,0.0037,0.0036,0.0072,alive
150,7,B,uninvaded,live,Churchill,3,1,2,0.18,0.98,dead,replanted,,,,-0.98,,,,,,,NA,dead
151,9,A,invaded,sterile,airport,3,1,2,0.38,1.58,2.475,3.075,4.47,6.42,10.09,8.51,0.0359,0.0352,0.03555,0.0075,0.0076,0.00755,0.0431,alive
152,6,B,uninvaded,sterile,Churchill,3,1,2,0.2,1.13,dead,,,,,-1.13,,,,,,,NA,dead
153,14,B,uninvaded,sterile,Churchill,3,1,2,0.45,1.9,2.99,4.44,7.195,9.93,14.03,12.13,0.1178,0.1169,0.11735,0.0225,0.0222,0.02235,0.1397,alive
154,17,B,uninvaded,sterile,CNSC,3,1,2,0.68,2.05,3.33,5.205,8.075,11.94,18.19,16.14,0.1537,0.1545,0.1541,0.0444,0.0443,0.04435,0.19845,alive
155,14,A,invaded,sterile,Churchill,3,1,2,0.16,0.595,1.39,dead,replanted,,,-0.595,,,,,,,NA,dead
156,15,A,invaded,live,Churchill,3,1,2,0.405,1.41,2.35,3.23,4.745,7.305,11.075,9.665,0.055,0.0556,0.0553,0.02,0.0197,0.01985,0.07515,alive
157,1,B,uninvaded,live,Churchill,3,1,2,0.8,2.26,3.085,5.035,7.175,10.495,14.3,12.04,0.2833,0.2832,0.28325,0.087,0.0868,0.0869,0.37015,alive
158,9,A,invaded,live,airport,3,1,2,0.565,1.88,2.39,2.265,6.215,9.735,14.02,12.14,0.1211,0.1205,0.1208,0.0409,0.0404,0.04065,0.16145,alive
159,1,B,uninvaded,sterile,Churchill,3,1,2,0.17,0.66,1.09,1.59,2.175,3.435,5.855,5.195,0.0339,0.0332,0.03355,0.0068,0.0067,0.00675,0.0403,alive
160,18,A,invaded,live,CNSC,3,1,2,0.225,0.925,1.39,1.645,2.575,3.34,5.72,4.795,0.0155,0.0149,0.0152,0.0028,0.0029,0.00285,0.01805,alive
161,11,B,uninvaded,live,airport,3,1,2,0.18,0.6,0.895,1.2,dead,,,-0.6,,,,,,,NA,dead
162,12,A,invaded,sterile,airport,3,1,0,,0.77,0.99,1.64,dead,replanted,,-0.77,,,,,,,NA,dead
163,1,A,invaded,live,Churchill,3,1,2,0.565,0.87,1.57,2.01,2.45,dead,,-0.87,,,,,,,NA,dead
164,8,B,uninvaded,live,Churchill,3,1,2,0.56,2.035,3.7,6.185,8.395,12.095,15.885,13.85,0.2514,0.2512,0.2513,0.0802,0.0803,0.08025,0.33155,alive
165,15,B,uninvaded,live,Churchill,3,1,2,0.26,0.745,0.915,1.3,1.9,2.15,dead,,,,,,,,NA,dead
166,8,A,invaded,sterile,Churchill,3,1,2,0.495,1.68,2.875,3.97,6.915,10.04,16.05,14.37,0.1181,0.1177,0.1179,0.03,0.03,0.03,0.1479,alive
167,12,B,uninvaded,sterile,airport,3,1,2,0.425,1.24,2.415,3.635,5.055,6.94,8.08,6.84,0.0361,0.0366,0.03635,0.0188,0.0194,0.0191,0.05545,alive
168,16,A,invaded,sterile,airport,3,1,2,0.255,1.03,3.035,4.29,5.495,6.88,7.43,6.4,0.0077,0.0076,0.00765,0.0047,0.0045,0.0046,0.01225,alive
169,10,A,invaded,sterile,airport,4,1,2,0.255,1.055,1.175,1.96,3.37,4.44,4.48,3.425,0.0032,0.0025,0.00285,0.001,0.001,0.001,0.00385,alive
170,18,A,invaded,live,CNSC,4,1,2,0.46,1.235,2.52,3.64,6.315,8.335,11.88,10.645,0.0342,0.0344,0.0343,0.0121,0.0119,0.012,0.0463,alive
171,9,A,invaded,live,airport,4,1,2,0.195,0.685,0.875,dead,,,,-0.685,,,,,,,NA,dead
172,1,B,uninvaded,sterile,Churchill,4,1,2,0.21,0.725,0.885,1.53,2.02,2.24,2.5,1.775,0.0001,0.0001,0.0001,0.0006,0.001,0.0008,0.0009,alive
173,15,A,invaded,sterile,Churchill,4,1,2,0.26,0.585,1.07,1.83,2.32,3.085,3.97,3.385,0.0061,0.0056,0.00585,0.0015,0.0023,0.0019,0.00775,alive
174,12,B,uninvaded,live,airport,4,1,2,0.21,0.975,1.22,2.07,2.985,4.745,6.62,5.645,0.0343,0.0336,0.03395,0.0086,0.0078,0.0082,0.04215,alive
175,14,A,invaded,sterile,Churchill,4,1,2,0.215,1.325,1.945,3.41,5.95,7.995,10.315,8.99,0.1228,0.1233,0.12305,0.064,0.0632,0.0636,0.18665,alive
176,10,B,uninvaded,live,airport,4,1,2,0.285,0.975,1.815,3.17,4.025,5.48,6.895,5.92,0.0938,0.0945,0.09415,0.0402,0.0403,0.04025,0.1344,alive
177,15,B,uninvaded,sterile,Churchill,4,1,2,0.15,0.655,0.9,1.88,2.35,3.24,4.835,4.18,0.0066,0.0067,0.00665,0.0016,0.0016,0.0016,0.00825,alive
178,11,A,invaded,live,airport,4,1,2,0.25,0.65,1.025,1.3,2.185,2.935,2.995,2.345,0.0042,0.0045,0.00435,0.0029,0.0023,0.0026,0.00695,alive
179,8,A,invaded,sterile,Churchill,4,1,2,0.21,1.22,1.455,2.005,3.49,4.985,6.78,5.56,0.0825,0.0831,0.0828,0.0399,0.0396,0.03975,0.12255,alive
180,17,A,invaded,sterile,CNSC,4,1,2,0.265,1.025,1.44,1.87,2.375,3.635,6.21,5.185,0.0161,0.0162,0.01615,0.0052,0.0058,0.0055,0.02165,alive
181,6,A,invaded,sterile,Churchill,4,1,0,,0.695,0.92,1.01,1.745,dead,,-0.695,,,,,,,NA,dead
182,6,B,uninvaded,live,Churchill,4,1,2,0.32,0.69,1.195,1.58,2.115,3.36,6.49,5.8,0.0215,0.0212,0.02135,0.0114,0.0125,0.01195,0.0333,alive
183,16,B,uninvaded,sterile,airport,4,1,2,0.35,0.865,1.51,3.165,4.255,5.72,7.875,7.01,0.0669,0.0673,0.0671,0.0318,0.0317,0.03175,0.09885,alive
184,13,A,invaded,sterile,airport,4,1,2,0.455,0.1075,1.825,2.87,3.645,4.91,6.93,6.8225,0.0689,0.0681,0.0685,0.0323,0.0316,0.03195,0.10045,alive
185,7,A,invaded,live,Churchill,4,1,2,0.15,0.895,1.23,1.86,"dead, white on the leaves (herbivory?)",,,-0.895,,,,,,,NA,dead
